Item #, Item Description, MSP, Retail Price, Dealer Price, Sale Price, Sale Ends, Quantity, UPC Code, Manufacturer, Gun Type, Model Series, Caliber, Action, Capacity, Finish,Stock, Sights, Barrel Length, Overall Length, Features
GERG2210TFFT,ATA GSG FIRFLY 22LR TB 10R FDE,$209.95,$299.95,$209.95,,,20,#813393019692#,American Tactical Inc,Pistol: Semi-Auto,Firefly,22LR,Double Action,10+1,Tan,Black Grips,Adjustable Rear Sight,4.9,8.2,Tan Polymer Frame/ Integrated Accessory Rail
GERG2210FF,ATA GSG FIRFLY 22LR PST BLK,$209.95,$299.95,$209.95,$194.95,3/15/2023,0,#813393019425#,American Tactical Inc,Pistol: Semi-Auto,Firefly,22LR,Double Action,10+1,Blue,Black Grips,Adjustable Rear Sight,3.9,7.2,Polymer Frame/ Integrated Accessory Rail
GERG2210FFT,ATA GSG FIREFLY 22LR PST FDE,$209.95,$299.95,$209.95,,,49,#813393019555#,American Tactical Inc,Pistol: Semi-Auto,Firefly,22LR,Double Action,10+1,Tan,Black Grips,Adjustable Rear Sight,3.9,7.2,Tan Polymer Frame/ Integrated Accessory Rail
GERG2210FFS,ATA GSG FIRFLY 22LR 10RD GRY,$209.95,$299.95,$209.95,,,12,#819644027256#,American Tactical Inc,Pistol: Semi-Auto,Firefly,22LR,Double Action,10+1,Black\Gray,Black Grips,Adjustable Rear Sight,3.9,7.2,Grey Polymer Frame/ Integrated Accessory Rail
GERG2210FFG,ATA GSG FIRFLY 22LR 10RD GRN,$209.95,$299.95,$209.95,$194.95,3/15/2023,64,#813393019562#,American Tactical Inc,Pistol: Semi-Auto,Firefly,22LR,Double Action,10+1,Green,Black Grips,Adjustable Rear Sight,3.9,7.2,Green Polymer Frame/ Integrated Accessory Rail
GERG2210TFFL,ATA GSG FIRFLY 22LR TB PURPLE,$209.95,$299.95,$209.95,,,19,#819644022060#,American Tactical Inc,Pistol: Semi-Auto,Firefly,22LR,Double Action,10+1,Purple,Black Grips,Adjustable Rear Sight,4.9,8.2,Purple Polymer Frame/ Integrated Accessory Rail
GERG2210FFL,ATA GSG FIRFLY 22LR 10R PURPLE,$209.95,$299.95,$209.95,$189.95,3/15/2023,37,#819644022053#,American Tactical Inc,Pistol: Semi-Auto,Firefly,22LR,Double Action,10+1,Purple,Black Grips,Adjustable Rear Sight,3.9,7.2,Polymer Frame/ Integrated Accessory Rail
GERG2210TFFS,ATA GSG FRFLY 22LR 4.9TB GREY,$209.95,$299.95,$209.95,,,39,#819644027065#,American Tactical Inc,Pistol: Semi-Auto,Firefly,22LR,Double Action,10+1,Gray,Black Grips,Adjustable Rear Sight,4.9,8.2,Grey Polymer Frame/ Integrated Accessory Rail
GERG2210TFFM,ATA GSG FRFLY 22LR 4.9TB MINT,$209.95,$299.95,$209.95,,,75,#819644027577#,American Tactical Inc,Pistol: Semi-Auto,Firefly,22LR,Double Action,10+1,Mint Green,Black Grips,Adjustable Rear Sight,4.9,8.2,Purple Polymer Frame/ Integrated Accessory Rail
GERG2210FFM,ATA GSG FRFLY 22LR 4.9B MINT,$209.95,$299.95,$209.95,,,12,#819644027560#,American Tactical Inc,Pistol: Semi-Auto,Firefly,22LR,Double Action,10+1,Mint Green,Black Grips,Adjustable Rear Sight,4.9,8.2,Purple Polymer Frame/ Integrated Accessory Rail
