itemNumber,upc,mfgModelNumber,quantity,allocated,onSale,price,currentPrice,retailMap
WBMCB20N65RWL6B,747115450619,MCB20N65RWL6B,0,False,False,2820.96,2820.96,3299.0
WBMCT20N338WR2B,747115450404,MCT20N338WR2B,0,False,False,3195.65,3195.65,3749.0
WBMCT20N240WL4B,747115450626,MCT20N240WL4B,0,False,False,3275.54,3275.54,3849.0
WBMCT20N243NL4B,747115450633,MCT20N243NL4B,0,False,False,3275.54,3275.54,3849.0
WBMCT20N338WL2B,747115450572,MCT20N338WL2B,0,False,False,3275.54,3275.54,3849.0
WBMCT20N65CML4B,747115450640,MCT20N65CML4B,0,False,False,3275.54,3275.54,3849.0
WBMCM01N338WR6B,747115450411,MCM01N338WR6B,0,False,False,2165.59,2165.59,2549.0
WBMCT20N65RWL6B,747115450657,MCT20N65RWL6B,0,False,False,3275.54,3275.54,3849.0
ATIGOMX300MTS,810113110394,ATIGOMX300MTS,0,False,False,384.95,384.95,0.0
WBMBT20N240WL6B,747115450480,MBT20N240WL6B,1,False,False,2902.72,2902.72,3449.0
WI535740212,048702016271,535740212,0,True,False,689.0,689.0,0.0
WBMBT20N243NL4B,747115450497,MBT20N243NL4B,0,False,False,2902.72,2902.72,3449.0
CN8010623400,696528092032,801-06234-00,0,False,False,3145.99,3145.99,3549.99
WCACPCP9A,810025501877,ACP-CP-9A,0,True,False,2636.93,2636.93,3570.0
WCACPFS45ASS,810025501914,ACP-FS-45A-SS,0,True,False,2581.53,2581.53,3495.0
WCACPFS9SS,810025501921,ACP-FS-9-SS,0,True,False,2574.15,2574.15,3485.0
WCACPFS9A,810025501938,ACP-FS-9A,0,True,False,2636.93,2636.93,3570.0
HK81000288,642230260061,81000288,0,False,False,679.0,679.0,799.0
BEE0071A2158099,,E0071A21580999UNI,0,False,False,25.94,25.94,0.0
WCACPFS45A,810025501907,ACP-FS-45A,0,True,False,2489.2,2489.2,3370.0
LSCIT45LCLVR,,CIT45LCLVR,0,True,False,651.09,651.09,0.0
SCSU5185,816413028179,SU5185,0,True,False,558.35,558.35,730.15
AD64254,850036491040,64254,0,False,False,105.0,105.0,140.0
WCCQBFS9A,811826028488,CQB-FS-9A,0,True,False,2793.41,2793.41,3615.0
AD64244,850036491101,64244,0,False,False,78.0,78.0,97.99
WN7672-20MOA,656813106653,7672-20MOA,4,False,False,42.85,42.85,63.99
PF00831,847313008312,00831,100,False,True,28.0,23.0,33.0
SFXD4903,706397963019,XD4903,0,False,False,286.0,286.0,0.0
ATIG15MS556MLTS,819644025313,ATIG15MS556MLTS,0,True,False,449.95,449.95,0.0
WBMAM01N303WL8B,747115440283,MAM01N303WL8B,1,False,False,1944.47,1944.47,2299.0
YHM-2060-M,841812101581,YHM-2060-M,0,False,False,44.71,44.71,57.25
BM00-91001-BLK,604206200310,00-91001-BLK,0,False,False,355.49,355.49,408.81
RE84161,810070689230,R84161,0,False,False,882.0,882.0,0.0
RE84160,810070689247,R84160,3,False,False,882.0,882.0,0.0
RE86963,810070689216,R86963,0,False,False,1058.4,1058.4,0.0
MRBFR30/307B-6,761226090243,BFR30-307B-6,0,True,False,1156.25,1156.25,0.0
WCCQBFS45A,811826028495,CQB-FS-45A,0,True,False,2716.14,2716.14,3515.0
WCCQBFS9,811826025449,CQB-FS-9,0,True,False,2727.73,2727.73,3530.0
WCCQBFS10,811826026088,CQB-FS-10,0,True,False,2558.18,2558.18,3315.0
CN8010113400,691328238765,801-01134-00,1,False,False,2381.99,2381.99,2749.99
CN8010113500,691328238772,801-01135-00,0,False,False,2381.99,2381.99,2749.99
CN8010113600,691328238789,801-01136-00,0,False,False,2381.99,2381.99,2749.99
CN8010629200,696528093992,801-06292-00,0,False,False,2347.99,2347.99,2649.99
CN8010629300,696528094005,801-06293-00,0,False,False,2347.99,2347.99,2649.99
CN8010629400,696528094012,801-06294-00,0,False,False,2347.99,2347.99,2649.99
CN8010629500,696528094029,801-06295-00,0,False,False,2347.99,2347.99,2649.99
CN8010622200,696528091912,801-06222-00,0,False,False,2924.99,2924.99,3299.99
CN8010623000,696528091998,801-06230-00,0,False,False,3145.99,3145.99,3549.99
