UPC,D-Q,D-P,D-SP,S-Q,S-P,Z-P,Z-Q,L-Q,L-P,Best Price,Best Price Vendor,Best Price Quantity
682146911466,0,,,0,,67.03,5,0,,67.03,Zanders,5
682146911732,0,,,0,,19.78,6,0,,19.78,Zanders,6
682146911251,0,,,0,,32.99,10,0,,32.99,Zanders,10
682146911275,0,,,0,,14.5,11,0,,14.5,Zanders,11
649898901015,0,,,0,,13.98,0,0,,13.98,Zanders,0
712548130070,0,,,0,,117.3,3,0,,117.3,Zanders,3
671192601865,0,,,0,,116.0,3,0,,116.0,Zanders,3
671192601872,0,,,0,,144.99,3,0,,144.99,Zanders,3
671192601353,0,,,0,,100.8,3,0,,100.8,Zanders,3
671192601360,0,,,0,,100.8,5,0,,100.8,Zanders,5
671192601391,0,,,0,,121.99,2,0,,121.99,Zanders,2
671192601407,0,,,0,,121.99,0,0,,121.99,Zanders,0
743404401942,0,,,0,,14.16,3,0,,14.16,Zanders,3
751710507562,0,,,0,,72.99,1,0,,72.99,Zanders,1
712195498622,0,,,0,,18.4,0,0,,18.4,Zanders,0
759049463122,0,,,0,,18.4,0,0,,18.4,Zanders,0
712195498530,0,,,0,,18.4,16,0,,18.4,Zanders,16
712195498592,0,,,0,,18.4,0,0,,18.4,Zanders,0
712195498608,0,,,0,,18.98,0,0,,18.98,Zanders,0
712195498547,0,,,0,,17.83,0,0,,17.83,Zanders,0
712195498578,0,,,0,,17.83,0,0,,17.83,Zanders,0
759049463139,0,,,0,,40.25,1,0,,40.25,Zanders,1
759049463108,0,,,0,,57.5,0,0,,57.5,Zanders,0
759049463115,0,,,0,,57.5,0,0,,57.5,Zanders,0
712195498615,0,,,0,,18.4,0,0,,18.4,Zanders,0
712195498561,0,,,0,,16.1,0,0,,16.1,Zanders,0
759049463092,0,,,0,,18.4,0,0,,18.4,Zanders,0
712195498554,0,,,0,,18.4,0,0,,18.4,Zanders,0
759049463085,0,,,0,,25.3,73,0,,25.3,Zanders,73
740120787626,0,,,0,,17.25,1,0,,17.25,Zanders,1
825494002640,0,,,0,,52.0,0,0,,52.0,Zanders,0
825494002268,0,,,0,,220.0,3,0,,220.0,Zanders,3
825494002800,0,,,0,,240.0,0,0,,240.0,Zanders,0
825494001414,0,,,0,,264.0,0,0,,264.0,Zanders,0
789976122229,0,,,0,,15.88,42,0,,15.88,Zanders,42
789976100050,0,,,0,,30.21,23,0,,30.21,Zanders,23
081950467006,0,,,0,,117.27,0,0,,117.27,Zanders,0
081950467174,0,,,0,,117.27,0,0,,117.27,Zanders,0
754486051055,0,,,0,,37.98,0,0,,37.98,Zanders,0
754486052052,0,,,0,,37.97,0,0,,37.97,Zanders,0
754486052069,0,,,0,,274.17,0,0,,274.17,Zanders,0
754486040004,0,,,0,,40.87,0,0,,40.87,Zanders,0
754486053059,0,,,0,,40.42,0,0,,40.42,Zanders,0
754486054056,0,,,0,,40.42,0,0,,40.42,Zanders,0
754486056050,0,,,0,,40.76,0,0,,40.76,Zanders,0
754486056067,0,,,0,,294.38,0,0,,294.38,Zanders,0
754486041001,0,,,0,,40.87,0,0,,40.87,Zanders,0
754486058054,0,,,0,,40.76,0,0,,40.76,Zanders,0
754486058061,0,,,0,,294.39,0,0,,294.39,Zanders,0
754486059051,0,,,0,,37.97,0,0,,37.97,Zanders,0
754486059068,0,,,0,,274.17,0,0,,274.17,Zanders,0
754486043005,0,,,0,,40.87,0,0,,40.87,Zanders,0
754486063072,0,,,0,,37.32,0,0,,37.32,Zanders,0
754486042008,0,,,0,,40.87,0,0,,40.87,Zanders,0
754486042084,0,,,0,,294.94,0,0,,294.94,Zanders,0
754486044002,0,,,0,,40.87,0,0,,40.87,Zanders,0
754486082011,0,,,0,,39.44,0,0,,39.44,Zanders,0
754486082080,0,,,0,,281.99,0,0,,281.99,Zanders,0
888151023754,0,,,0,,173.23,23,0,,173.23,Zanders,23
888151023761,0,,,0,,216.55,7,0,,216.55,Zanders,7
888151016589,0,,,0,,15.11,14,0,,15.11,Zanders,14
687408401273,0,,,0,,31.24,0,0,,31.24,Zanders,0
676821002488,0,,,0,,31.24,0,0,,31.24,Zanders,0
687408401280,0,,,0,,31.24,0,0,,31.24,Zanders,0
687408401303,0,,,0,,31.24,0,0,,31.24,Zanders,0
687408401327,0,,,0,,31.24,0,0,,31.24,Zanders,0
676821210852,0,,,0,,31.24,0,0,,31.24,Zanders,0
687408401341,0,,,0,,31.24,0,0,,31.24,Zanders,0
687408401358,0,,,0,,31.24,0,0,,31.24,Zanders,0
676821152275,0,,,0,,31.24,0,0,,31.24,Zanders,0
676821386748,0,,,0,,31.24,0,0,,31.24,Zanders,0
676821324085,0,,,0,,31.24,0,0,,31.24,Zanders,0
676821090256,0,,,0,,31.24,0,0,,31.24,Zanders,0
676821033987,0,,,0,,31.24,0,0,,31.24,Zanders,0
039288531289,0,,,0,,24.54,0,0,,24.54,Zanders,0
039288531302,0,,,0,,105.2,0,0,,105.2,Zanders,0
039288531319,0,,,0,,196.44,0,0,,196.44,Zanders,0
889620136289,0,,,0,,32.54,1,0,,32.54,Zanders,1
889620136302,0,,,0,,32.54,2,0,,32.54,Zanders,2
889620136449,0,,,0,,32.54,3,0,,32.54,Zanders,3
889620134810,0,,,0,,27.95,2,0,,27.95,Zanders,2
889620134858,0,,,0,,32.54,1,0,,32.54,Zanders,1
889620134896,0,,,0,,32.54,0,0,,32.54,Zanders,0
889620134988,0,,,0,,32.54,1,0,,32.54,Zanders,1
889620135145,0,,,0,,32.54,3,0,,32.54,Zanders,3
889620135725,0,,,0,,32.54,3,0,,32.54,Zanders,3
889620135763,0,,,0,,32.54,0,0,,32.54,Zanders,0
889620135961,0,,,0,,32.54,2,0,,32.54,Zanders,2
702649004417,0,,,0,,230.48,8,0,,230.48,Zanders,8
702649004424,0,,,0,,116.52,9,0,,116.52,Zanders,9
026057310121,0,,,0,,13.8,19,0,,13.8,Zanders,19
026057310091,0,,,0,,12.0,24,0,,12.0,Zanders,24
649898141480,0,,,0,,12.4,0,0,,12.4,Zanders,0
810043983396,0,,,0,,140.91,1,0,,140.91,Zanders,1
649898141497,0,,,0,,12.52,0,0,,12.52,Zanders,0
810043983372,0,,,0,,140.91,2,0,,140.91,Zanders,2
810043983389,0,,,0,,140.91,0,0,,140.91,Zanders,0
810043983181,0,,,0,,140.91,2,0,,140.91,Zanders,2
810043983167,0,,,0,,140.91,1,0,,140.91,Zanders,1
810043983174,0,,,0,,140.91,0,0,,140.91,Zanders,0
810043982979,0,,,0,,70.17,1,0,,70.17,Zanders,1
810043982955,0,,,0,,70.17,4,0,,70.17,Zanders,4
810043982962,0,,,0,,70.17,3,0,,70.17,Zanders,3
147164800029,0,,,0,,9.96,48,0,,9.96,Zanders,48
676315034018,0,,,0,,23.95,0,0,,23.95,Zanders,0
676315034858,0,,,0,,24.95,4,0,,24.95,Zanders,4
676315034001,0,,,0,,23.95,3,0,,23.95,Zanders,3
889620137569,0,,,0,,19.1,2,0,,19.1,Zanders,2
889620137583,0,,,0,,19.1,0,0,,19.1,Zanders,0
026057207414,0,,,0,,2.03,82,0,,2.03,Zanders,82
026057235165,0,,,0,,2.03,0,0,,2.03,Zanders,0
026057222417,0,,,0,,2.03,72,0,,2.03,Zanders,72
026057234298,0,,,0,,2.03,106,0,,2.03,Zanders,106
026057223414,0,,,0,,2.03,0,0,,2.03,Zanders,0
027784000187,0,,,0,,3.59,0,0,,3.59,Zanders,0
676315034667,0,,,0,,21.5,3,0,,21.5,Zanders,3
676315035770,0,,,0,,34.95,2,0,,34.95,Zanders,2
676315034728,0,,,0,,27.95,3,0,,27.95,Zanders,3
027784000248,0,,,0,,2.95,1,0,,2.95,Zanders,1
856304004875,0,,,0,,22.0,0,0,,22.0,Zanders,0
856304004943,0,,,0,,22.0,25,0,22.0,22.0,Zanders,25
856304004844,0,,,0,,22.0,0,0,22.0,22.0,Zanders,0
859735005398,0,,,0,,22.0,4,0,19.6,19.6,Lipseys,0
026057360140,0,,,0,,2.89,3,0,,2.89,Zanders,3
810058880147,0,,,0,,19.95,0,0,,19.95,Zanders,0
810058880130,0,,,0,,11.95,11,0,,11.95,Zanders,11
810058880161,0,,,0,,19.95,4,0,,19.95,Zanders,4
810058880154,0,,,0,,11.95,3,0,,11.95,Zanders,3
082442869179,0,,,0,,93.6,3,0,,93.6,Zanders,3
082442900667,0,,,0,,168.48,6,0,158.24,158.24,Lipseys,0
082442900674,0,,,0,,180.18,0,0,,180.18,Zanders,0
082442875354,0,,,0,,168.48,0,0,158.24,158.24,Lipseys,0
082442899152,0,,,0,,180.18,0,0,,180.18,Zanders,0
082442886497,0,,,0,,189.54,5,0,,189.54,Zanders,5
082442719979,0,,,0,,228.15,2,0,,228.15,Zanders,2
082442719986,0,,,0,,228.15,0,0,,228.15,Zanders,0
082442070865,0,,,0,,10.0,3,0,,10.0,Zanders,3
082442807737,0,,,0,,33.93,4,0,,33.93,Zanders,4
082442807768,0,,,0,,33.93,7,0,,33.93,Zanders,7
082442807720,0,,,0,,33.93,1,0,,33.93,Zanders,1
082442807744,0,,,0,,33.93,0,0,,33.93,Zanders,0
082442807751,0,,,0,,33.93,4,0,,33.93,Zanders,4
082442807775,0,,,0,,33.93,2,0,,33.93,Zanders,2
082442807782,0,,,0,,33.93,2,0,,33.93,Zanders,2
082442807799,0,,,0,,33.93,5,0,,33.93,Zanders,5
082442809465,0,,,0,,40.95,5,0,,40.95,Zanders,5
082442809472,0,,,0,,40.95,5,0,,40.95,Zanders,5
082442806006,0,,,0,,40.95,2,0,,40.95,Zanders,2
082442806013,0,,,0,,40.95,2,0,,40.95,Zanders,2
082442806020,0,,,0,,40.95,2,0,,40.95,Zanders,2
082442806037,0,,,0,,40.95,1,0,,40.95,Zanders,1
082442806051,0,,,0,,40.95,2,0,,40.95,Zanders,2
082442809489,0,,,0,,40.95,3,0,,40.95,Zanders,3
082442806044,0,,,0,,40.95,2,0,,40.95,Zanders,2
082442809434,0,,,0,,29.25,2,0,,29.25,Zanders,2
082442809441,0,,,0,,29.25,1,0,,29.25,Zanders,1
082442805955,0,,,0,,29.25,3,0,,29.25,Zanders,3
082442805979,0,,,0,,26.0,3,0,,26.0,Zanders,3
082442805986,0,,,0,,26.0,3,0,,26.0,Zanders,3
082442809458,0,,,0,,29.25,3,0,,29.25,Zanders,3
082442805993,0,,,0,,26.0,2,0,,26.0,Zanders,2
082442009551,0,,,0,,19.89,5,0,,19.89,Zanders,5
082442009568,0,,,0,,19.89,3,0,,19.89,Zanders,3
082442009575,0,,,0,,19.89,2,0,,19.89,Zanders,2
082442009582,0,,,0,,16.5,3,0,,16.5,Zanders,3
082442009599,0,,,0,,17.0,0,0,,17.0,Zanders,0
082442009605,0,,,0,,18.69,4,0,,18.69,Zanders,4
082442009643,0,,,0,,19.89,2,0,,19.89,Zanders,2
082442062235,0,,,0,,19.89,3,0,,19.89,Zanders,3
082442009650,0,,,0,,19.89,2,0,,19.89,Zanders,2
082442009667,0,,,0,,19.89,2,0,,19.89,Zanders,2
082442009674,0,,,0,,19.89,1,0,,19.89,Zanders,1
082442009681,0,,,0,,19.89,0,0,,19.89,Zanders,0
082442050706,0,,,0,,19.89,3,0,,19.89,Zanders,3
