upc,msrp,price1,available
854777005221,51.99,23.99,2
806703016153,449.95,359.95,0
021291016372,59.99,33.26,1
021291016396,24.99,14.4,5
034337016403,65.5,36.55,8
792695206347,134.99,74.72,0
792695206354,134.99,74.72,0
792695206378,134.99,74.72,1
792695206385,134.99,74.72,0
792695306658,134.99,74.72,0
019428173630,479.95,335.0,0
723560178407,114.99,73.76,0
887157021405,169.99,115.18,27
723560193875,97.99,59.98,0
792695299820,72.99,40.4,4
792695356486,66.99,26.0,11
792695368557,72.99,40.4,7
792695296003,72.99,40.4,3
792695358091,69.99,38.43,0
792695296041,72.99,40.4,1
792695296089,72.99,40.4,4
792695325857,72.99,40.4,0
792695317630,72.99,40.4,9
792695325918,72.99,40.4,9
792695338314,72.99,40.4,4
792695356585,72.99,40.4,4
792695363507,72.99,36.22,0
792695330868,72.99,40.4,1
792695334026,72.99,40.4,3
792695339182,72.99,36.22,3
792695329008,72.99,40.4,6
792695348108,72.99,40.4,4
792695360773,72.99,40.4,5
792695206736,72.99,40.4,0
792695206743,72.99,40.4,2
792695226260,72.99,40.4,4
792695206798,72.99,33.95,5
792695206804,72.99,40.4,1
792695317043,72.99,40.4,1
792695325550,72.99,40.4,1
792695344650,72.99,40.4,2
792695311317,72.99,40.4,1
792695353331,72.99,40.4,0
792695308256,72.99,40.4,1
792695315568,72.99,40.4,2
792695317791,72.99,40.4,1
792695323334,72.99,40.4,0
792695324508,62.99,34.55,0
792695299837,72.99,40.4,2
792695348115,72.99,40.4,7
792695360780,72.99,40.4,1
792695226277,72.99,40.4,4
792695299844,72.99,40.4,1
792695356509,69.99,38.43,2
792695368571,72.99,40.4,6
792695296027,72.99,40.4,0
792695358114,66.99,36.2,1
792695296065,72.99,40.4,2
792695296102,72.99,40.4,3
792695317654,72.99,40.4,1
792695325932,72.99,40.4,1
792695338338,72.99,40.4,1
792695356608,72.99,40.4,4
792695334040,72.99,40.4,0
792695329022,72.99,40.4,5
792695348122,72.99,40.4,8
792695360797,72.99,40.4,11
792695207719,72.99,40.4,1
792695226284,72.99,40.4,3
792695207788,72.99,32.95,4
792695207795,72.99,36.22,0
792695317067,72.99,40.4,1
792695344674,72.99,40.4,0
792695311331,72.99,40.4,1
792695298960,72.99,40.4,2
792695353355,72.99,40.4,2
792695308270,72.99,40.4,0
792695315582,72.99,40.4,7
792695317814,72.99,40.4,2
792695323358,72.99,40.4,2
792695348139,72.99,40.4,0
792695360803,72.99,40.4,1
792695226291,72.99,40.4,3
649898141862,49.99,34.82,10
021291020003,4.99,3.05,341
021291020010,4.99,3.05,0
021291020027,5.99,4.04,9
021291020195,9.99,5.06,38
792695301462,33.99,18.81,2
792695300175,33.99,18.81,3
723560226863,16.99,9.08,0
723560228089,14.99,7.19,8
659268023490,40.0,9.99,15
792695208112,64.99,35.97,2
792695219804,64.99,35.97,7
792695240020,64.99,35.97,2
792695219828,64.99,35.97,2
034337024552,10.98,6.39,0
034337024705,31.5,18.31,5
034337024743,31.5,18.31,5
034337024750,31.5,18.31,9
034337024781,31.5,18.31,7
034337024798,31.5,18.31,11
034337024804,31.5,18.31,5
034337024828,31.5,18.31,0
034337024835,31.5,18.31,8
034337024842,31.5,18.31,2
034337025009,53.5,29.86,4
034337025139,48.98,27.79,5
034337025214,48.98,28.48,6
034337025238,48.98,24.99,2
034337025283,48.98,28.48,0
034337025450,44.5,25.86,0
015896000256,39.99,31.46,18
040191026014,11.99,6.48,110
040191026052,19.99,10.8,64
040191026069,12.99,7.31,45
040191026168,23.99,12.96,21
764503026362,15.0,8.5,2
034337026501,30.98,18.01,16
034337026525,30.98,18.01,12
034337026549,30.98,18.01,4
792695329183,94.99,52.58,4
