I,Q,P,UPC
21811,0,376.0,764503992353
21815,0,376.0,764503992650
21816,0,399.0,764503993053
21821,0,427.0,764503991264
21827,0,410.0,764503993534
21829,0,455.0,764503019241
21830,0,455.0,764503993886
21832,0,376.0,764503993251
21834,0,399.0,764503295058
21851,25,289.0,736676037520
22044,0,612.16,048702006708
22045,0,612.16,048702006692
22046,0,1368.43,048702007002
22047,0,1368.43,048702007019
22048,0,1399.09,048702007378
22060,0,928.98,023614442844
22061,0,826.78,023614442820
22173,25,202.25,813393019685
22174,25,202.25,813393019692
22175,25,202.25,813393019708
22203,0,2118.68,855148002603
22205,5,2118.68,855148002641
22206,0,2292.97,854026005484
22208,0,2273.31,854026005491
22250,0,612.16,048702006715
22347,25,440.0,736676401017
22348,0,545.0,736676401031
22349,0,648.0,736676401185
22350,0,612.16,048702006685
22386,25,197.49,062654300004
22456,25,86.9,815648021962
22476,0,457.0,736676086351
22488,25,161.68,062654400001
22499,25,457.0,736676086399
22500,1,443.0,736676086337
22617,25,249.0,736676037506
22647,0,823.45,851799004508
22648,0,823.45,851799004515
22649,0,856.04,851799004157
22650,0,863.23,851799004553
22651,0,865.11,851799004461
22652,0,874.62,851799004478
22671,0,1636.0,815604018562
22672,0,1602.0,815604019538
22706,0,1450.19,048702006845
22710,0,561.07,048702007125
22735,0,2005.49,619835110039
22736,0,2005.49,619835110022
22737,0,404.4,619835011169
22738,0,482.42,619835011176
22739,0,873.63,619835016508
22815,0,530.0,764503914683
22816,25,228.77,851799004805
22817,25,228.77,851799004836
22818,0,113.74,851799004928
22819,0,113.74,851799004911
22820,0,113.74,851799004904
22963,0,959.64,023614443162
22978,0,959.64,023614443155
22981,0,1010.74,023614443186
22983,0,1010.74,023614443179
22988,0,1010.74,023614443148
22990,0,1010.74,023614443131
23008,0,765.46,023614442868
23026,0,1266.23,023614442905
23028,0,520.19,023614442813
23031,0,1123.15,023614439738
23032,0,1123.15,023614439745
23035,0,1123.15,023614439752
23047,0,1123.15,023614439783
23048,0,1123.15,023614439790
23050,0,1215.13,023614439806
23051,0,1215.13,023614439813
23052,0,860.46,806703061306
23067,0,1307.11,023614443537
23068,0,561.07,023614444015
23069,0,530.41,023614444039
23071,2,438.43,023614444008
23076,0,612.16,023614443728
23077,0,612.16,023614443735
23086,0,724.58,023614443742
23087,0,806.34,023614443766
23088,0,724.58,023614443759
23089,0,806.34,023614443773
23164,0,1276.45,023614245889
23165,0,1276.45,023614245872
23241,0,599.0,723364211386
23246,0,279.0,723364211140
23309,0,1459.0,815604018487
23322,0,392.0,015813506595
23405,0,383.0,015813278737
23409,0,383.0,015813278744
23418,9,383.0,015813278751
23420,4,591.0,884110757920
23498,0,504.55,640832000375
23504,0,590.0,082442816371
23505,7,590.0,082442816838
23920,50,27.47,661120001270
23979,25,650.0,022188869187
23980,0,769.0,022188868005
23981,0,769.0,022188868012
23982,0,866.0,022188141597
23983,0,889.0,022188141566
23984,0,786.0,022188145175
23985,0,786.0,022188145144
23986,0,786.0,022188145151
23987,0,786.0,022188141573
23989,0,786.0,022188141580
23992,23,349.0,022188865813
23999,25,113.74,851799004935
24002,25,473.0,022188870169
24004,0,1627.0,022188870220
24005,0,1576.0,022188870008
24006,0,1147.0,022188701708
24007,25,493.0,022188703498
24008,25,505.0,022188866360
24009,10,493.0,022188703481
24010,0,1017.0,022188868036
24038,25,502.0,022188869057
24039,25,502.0,022188869156
24040,25,502.0,022188869248
24041,0,502.0,022188869064
24042,25,502.0,022188869224
24043,25,502.0,022188869750
24044,16,197.14,645221003012
24047,4,1792.0,847313011435
24048,4,1904.0,847313011459
24108,25,85.6,736676085064
24145,25,212.85,062654451003
24146,0,292.66,062654962097
24147,0,325.41,062654962226
24148,0,364.3,062654952005
24150,25,269.13,062654292002
24151,0,229.22,062654918001
24152,0,246.62,062654932007
24153,0,295.74,062654917004
24154,1,304.95,062654947001
24155,8,237.41,062654907005
24156,0,237.41,062654957000
24162,0,231.26,062654967092
24175,25,247.64,062654967009
24177,25,289.59,062654967122
24178,5,311.08,062654967030
24186,0,267.08,062654967115
24187,0,254.8,062654967016
24188,25,254.8,062654967177
24207,8,331.11,752334099914
24245,12,372.48,062654967054
24246,0,409.32,062654962004
24307,25,239.45,062654170003
24310,0,1614.0,706397906634
24311,0,1502.0,706397906641
24312,0,1016.0,706397913113
24313,0,682.0,706397913120
24314,0,708.0,706397913137
24315,0,773.0,706397913144
24317,0,816.0,706397913151
24318,0,865.0,706397913168
24319,0,865.0,706397913175
24320,0,1063.0,706397919597
24321,25,210.8,062654607028
24324,0,1339.0,706397919511
24326,0,1339.0,706397919535
24334,0,411.36,062654289002
24344,0,425.41,619835011206
24347,0,927.47,619835016386
24349,0,774.73,619835060419
24350,0,774.73,619835060426
24351,0,774.73,619835060433
24352,0,774.73,619835060440
24356,0,736.26,619835200143
24358,0,736.26,619835200150
24359,0,736.26,619835200167
24362,0,910.99,619835300034
24363,0,881.32,619835300041
24364,0,881.32,619835300058
24370,0,410.99,619835400062
24371,0,410.99,619835400079
24372,0,410.99,619835400031
24373,0,410.99,619835400024
24376,0,410.99,619835400017
24378,0,410.99,619835400086
24381,0,410.99,619835400048
24382,0,410.99,619835400055
24383,0,505.49,619835400093
24384,0,505.49,619835400109
24385,0,505.49,619835400116
24386,0,505.49,619835400123
24387,0,505.49,619835400130
24409,0,718.67,747115427376
24411,0,718.67,747115431557
24414,1,718.67,747115427390
24416,0,521.58,747115431564
24445,25,179.0,062654267000
24466,7,1024.0,845737005399
24467,25,1024.0,845737005405
24563,24,215.91,062654287008
24667,8,254.8,062654247002
24668,0,407.27,062654288005
24669,25,221.03,062654268007
24708,25,242.52,062654702006
24709,25,265.03,062654702013
24710,25,334.62,062654702020
24711,22,274.24,062654702037
24712,25,261.97,062654705007
24714,21,284.47,062654705014
24715,0,342.8,062654705021
24716,25,293.68,062654705038
24717,0,261.97,062654708008
24718,25,284.47,062654708015
24719,14,342.8,062654708022
24720,25,293.68,062654708039
24721,0,127.91,062654137839
24722,16,1320.05,011356229021
24723,10,1229.0,011356229038
24724,25,1899.0,011356229045
24725,21,1899.0,011356229052
24726,0,602.66,011356221544
24728,0,602.66,011356221551
24729,25,602.66,011356221568
24730,0,735.54,011356225924
24731,0,1699.0,098289111401
24732,0,735.54,011356225948
24733,19,735.54,011356225955
24745,0,1280.53,602686211048
24746,0,1203.22,602686221047
24751,10,671.1,602686251136
24754,0,1758.56,761226088042
24755,0,1926.24,761226088028
24756,0,1686.69,761226087700
24757,0,1936.04,761226088110
24758,0,1936.04,761226088127
24760,0,1733.51,761226088035
24764,0,1830.42,761226087922
24771,0,1143.33,761226088233
24772,0,1143.33,761226088240
24773,0,1143.33,761226088325
24775,19,875.47,761226083603
24776,4,875.47,761226083641
24838,25,209.78,062654207006
24839,0,209.78,062654507014
24840,8,209.78,062654607035
24841,0,209.78,062654507021
24862,0,491.08,806703065786
24863,25,491.08,806703065748
24864,0,491.08,806703065762
24865,0,841.0,736676067367
24882,0,1559.0,856304004387
24894,2,298.8,062654257001
24895,0,272.2,062654267024
24897,10,303.92,062654267246
24905,0,375.0,741566600678
24914,0,612.16,048702006678
24999,0,1104.0,098289111388
25027,0,1447.0,098289111210
25040,0,1447.0,098289111227
25071,25,500.0,082442188812
25072,0,500.0,082442188744
25080,0,850.0,098289111364
25081,0,850.0,098289111357
25086,25,2419.0,847313012357
25329,25,389.0,082442874524
25331,25,389.0,082442874517
25355,25,439.0,082442874500
25387,0,930.0,082442875620
25388,0,1000.0,082442875644
25390,12,1849.0,082442875668
25392,0,1849.0,082442875705
25525,25,529.0,713780241821
25526,4,588.88,713780241869
25528,25,588.88,713780241883
25536,0,785.9,048702006869
25537,0,785.9,048702006876
25538,0,683.7,048702006883
25539,0,683.7,048702006890
25543,0,713.89,048702006951
25544,0,806.34,048702007392
25545,0,806.34,048702007408
